alcaldia,localidad,sexo,rango_edad,poblacion
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,n) 65 a 69 años,8
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,o) 70 a 74 años,5
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,p) 75 a 79 años,0
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,q) 80 a 84 años,1
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,r) 85 años y más,0
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,a) 0 a 4 años,41
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,b) 5 a 9 años,48
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,c) 10 a 14 años,45
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,d) 15 a 19 años,42
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,e) 20 a 24 años,28
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,f) 25 a 29 años,30
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,g) 30 a 34 años,31
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,h) 35 a 39 años,40
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,i) 40 a 44 años,24
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,j) 45 a 49 años,34
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,k) 50 a 54 años,18
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,l) 55 a 59 años,15
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,m) 60 a 64 años,12
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,n) 65 a 69 años,2
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,o) 70 a 74 años,2
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,p) 75 a 79 años,1
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,q) 80 a 84 años,0
CUAJIMALPA DE MORELOS,Santa Rosa,Mujer,r) 85 años y más,1
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,a) 0 a 4 años,23
CUAJIMALPA DE MORELOS,Los Aguacates,Hombre,b) 5 a 9 años,17
